 #vertical grid
           0  -1037.87733446530     
           1  -963.324980385503     
           2  -893.430583370519     
           3  -827.903118887513     
           4  -766.469745327526     
           5  -708.874667954439     
           6  -654.878073833285     
           7  -604.255133303179     
           8  -556.795063837229     
           9  -512.300252391552     
          10  -470.585432589050     
          11  -431.476913311927     
          12  -394.811855490979     
          13  -360.437594080377     
          14  -328.211002394782     
          15  -297.997896162055     
          16  -269.672474810156     
          17  -243.116797661889     
          18  -218.220292856473     
          19  -194.879296953208     
          20  -172.996623300251     
          21  -152.481157371273     
          22  -133.247477385090     
          23  -115.215498628597     
          24  -98.3101400020524     
          25  -82.4610113982834     
          26  -67.6021206141278     
          27  -53.6715985737577     
          28  -40.6114417197772     
          29  -28.3672704994688     
          30  -16.8881029405785     
          31  -6.12614237386259     
          32 -0.479876652027747     
          33  0.560370043916759     
 #face values
          -1  -1076.99645903803     
           0  -999.999980893722     
           1  -927.814166259164     
           2  -860.138449654457     
           3  -796.691044632477     
           4  -737.207770483543     
           5  -681.440952246431     
           6  -629.158389445594     
           7  -580.142389260660     
           8  -534.188860102540     
           9  -491.106461822005     
          10  -450.715809012377     
          11  -412.848724089091     
          12  -377.347537036091     
          13  -344.064428903385     
          14  -312.860816322217     
          15  -283.606774475120     
          16  -256.180496118230     
          17  -230.467784403342     
          18  -206.361577387952     
          19  -183.761502253428     
          20  -162.573457375191     
          21  -142.709220504740     
          22  -124.086081432069     
          23  -106.626497598978     
          24  -90.2577712293132     
          25  -74.9117466318013     
          26  -60.5245264150905     
          27  -47.0362054334017     
          28  -34.3906213549884     
          29  -22.5351208148314     
          30  -11.4203401778822     
          31  -1.00000000000000     
          32  4.024669594450588E-002
          33   1.08049339188901     
